City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Hasaki,JP,35.7333,140.8333,43.29,54,90,19.35,overcast clouds
283,Havelock,US,34.8791,-76.9013,46.35,90,0,3.44,clear sky
284,Skibbereen,IE,51.55,-9.2667,49.8,89,96,12.37,overcast clouds
285,Sungairaya,ID,0.7,108.9,79.23,82,97,2.82,overcast clouds
286,Gamba,GA,-2.65,10.0,77.22,90,88,5.68,overcast clouds
287,Aquiraz,BR,-3.9014,-38.3911,82.49,79,67,9.1,broken clouds
288,Seoul,KR,37.5683,126.9778,27.91,84,20,2.3,few clouds
289,Mar Del Plata,AR,-38.0023,-57.5575,67.87,84,0,20.0,clear sky
290,Yar-Sale,RU,66.8333,70.8333,-0.62,94,93,15.7,overcast clouds
291,Emerald,AU,-23.5333,148.1667,83.34,54,0,6.91,clear sky
292,Vaasa,FI,63.096,21.6158,28.42,86,0,8.05,clear sky
293,Romny,UA,50.751,33.4747,27.55,94,100,4.72,overcast clouds
294,Belyy Yar,RU,53.6039,91.3903,-17.14,77,81,2.24,broken clouds
295,Saint-Pierre,RE,-21.3393,55.4781,74.88,78,0,5.75,clear sky
296,Monte Alegre,BR,-2.0078,-54.0692,74.66,95,100,0.81,overcast clouds
297,Mersing,MY,2.4312,103.8405,75.11,94,40,4.61,scattered clouds
298,Bambanglipuro,ID,-7.95,110.2833,79.75,75,100,2.44,overcast clouds
299,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.88,97,100,13.15,overcast clouds
300,Itarema,BR,-2.9248,-39.9167,79.27,80,47,12.1,scattered clouds
301,Goma,CD,-1.6792,29.2228,63.52,77,56,2.77,broken clouds
302,Altoona,US,40.5187,-78.3947,27.61,73,11,4.45,few clouds
303,Corinto,GR,37.9407,22.9573,46.89,49,3,9.75,clear sky
304,Port Macquarie,AU,-31.4333,152.9167,80.89,52,0,6.98,clear sky
305,Rio Bueno,CL,-40.3167,-72.9667,61.11,50,5,4.59,clear sky
306,Vitim,RU,59.4511,112.5578,-10.62,99,100,1.77,overcast clouds
307,San Patricio,US,28.017,-97.5169,61.21,44,0,8.88,clear sky
308,Hunchun,CN,42.8675,130.3581,21.94,63,34,2.28,scattered clouds
309,Kushima,JP,31.4583,131.2333,44.64,69,98,7.99,overcast clouds
310,Apple Valley,US,34.5008,-117.1859,74.1,8,100,7.7,overcast clouds
311,Kenai,US,60.5544,-151.2583,27.03,78,0,19.57,light snow
312,Fort Nelson,CA,58.8053,-122.7002,4.59,78,100,4.61,overcast clouds
313,Khagaria,IN,25.5,86.4833,53.46,77,0,3.47,clear sky
314,Nantucket,US,41.2835,-70.0995,40.08,88,75,14.97,broken clouds
315,Hachinohe,JP,40.5,141.5,32.83,57,7,10.31,clear sky
316,Sumbe,AO,-11.2061,13.8437,75.06,83,100,4.36,overcast clouds
317,Baykit,RU,61.67,96.37,-24.56,100,14,2.44,few clouds
318,Laguna,US,38.421,-121.4238,73.22,47,0,4.61,clear sky
319,Narsaq,GL,60.9167,-46.05,1.62,77,19,8.34,few clouds
320,Manzil Salim,TN,35.8567,8.4765,37.4,74,0,2.73,clear sky
321,Aswan,EG,24.0934,32.907,61.41,25,0,9.89,clear sky
322,Maceio,BR,-9.6658,-35.7353,80.04,78,20,4.61,few clouds
323,Trincomalee,LK,8.5711,81.2335,79.25,67,100,11.9,overcast clouds
324,San Juan,AR,-31.5375,-68.5364,84.85,28,0,7.52,clear sky
325,Ust-Kulom,RU,61.6864,53.6902,5.7,96,99,7.96,overcast clouds
326,Moshi,TZ,-3.35,37.3333,67.37,66,35,4.14,scattered clouds
327,Zell Am See,AT,47.3256,12.7944,37.71,23,5,5.32,clear sky
328,Shenjiamen,CN,29.9576,122.298,46.09,68,100,8.5,overcast clouds
329,Daoukro,CI,7.0591,-3.9631,70.32,75,6,3.2,clear sky
330,Alaca,TR,40.1683,34.8425,34.27,94,100,2.46,light snow
331,Saint-Francois,FR,46.4154,3.9054,32.41,98,8,2.3,clear sky
332,Adrar,MR,20.5022,-10.0711,65.34,11,100,10.36,overcast clouds
333,Batamshinskiy,KZ,50.5594,58.2747,6.78,97,99,6.73,overcast clouds
334,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,40,10.09,scattered clouds
335,Eureka,US,40.8021,-124.1637,61.36,74,1,1.99,clear sky
336,Novyy Urengoy,RU,66.0833,76.6333,-7.82,87,74,12.55,broken clouds
337,Tatawin,TN,32.9297,10.4518,45.48,65,76,10.16,broken clouds
338,Alexandria,EG,31.2156,29.9553,57.9,73,99,20.09,overcast clouds
339,Paita,PE,-5.0892,-81.1144,72.05,80,100,10.36,overcast clouds
340,Sola,VU,-13.8833,167.55,84.87,74,100,9.22,overcast clouds
341,Portland,US,45.5234,-122.6762,53.89,80,40,5.75,scattered clouds
342,Erzin,TR,36.9559,36.2,48.72,84,73,8.32,broken clouds
343,Ulaangom,MN,49.9811,92.0667,-25.4,80,51,3.13,broken clouds
344,Faya,SA,18.3851,42.4509,53.71,81,4,3.69,clear sky
345,Vardo,NO,70.3705,31.1107,26.74,80,79,18.92,broken clouds
